[13.06.2017 | 19:34:30] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @Lord Nightcore [315499915851857922] :   ne hab das String out .. mal gelöscht und jz klappts. danke trotzdem
[13.06.2017 | 19:35:00] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @Skillkiller [98719514908188672] :   Und hast du deinen Fehler mit ``.toString() `` gefunden
[13.06.2017 | 19:35:19] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @Lord Nightcore [315499915851857922] :   jup. klappt ja jz alles
[13.06.2017 | 19:36:22] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @Lord Nightcore [315499915851857922] :   bin grade mega happy
[13.06.2017 | 19:58:07] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   kann ich iwie den bot mit der -jar über mein handy lauifen lassen, asl notlösung?
[13.06.2017 | 20:00:56] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   nop
[13.06.2017 | 20:01:03] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   geht leider net^^
[13.06.2017 | 20:01:30] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   doch sollte eigentlich bei samsung funktionieren ?
[13.06.2017 | 20:01:42] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   bei anderen herstellern weiß ich es nicht
[13.06.2017 | 20:02:16] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   Nee xD
[13.06.2017 | 20:02:24] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   doch kenne sogar einen der das macht lol
[13.06.2017 | 20:02:29] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   Du kannst die net starten
[13.06.2017 | 20:02:36] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   Wie wo was?
[13.06.2017 | 20:02:52] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   Ein amerikaner von nem anderen discord
[13.06.2017 | 20:02:57] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   xD
[13.06.2017 | 20:03:36] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   Aber dann muss der ne App dafür oder so haben xD
[13.06.2017 | 20:07:36] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   sag mal an
[13.06.2017 | 20:07:41] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   bitte
[13.06.2017 | 20:11:30] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   !lmgtfy google|android jar datei ausführen
[13.06.2017 | 20:11:39] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   der bot geht nicht :lul:
[13.06.2017 | 20:11:56] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   /d 2
[13.06.2017 | 20:12:24] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   https://www.google.de/search?client=opera&q=android+jar+datei+ausführen&sourceid=opera&ie=UTF-8&oe=UTF-8
[13.06.2017 | 20:13:22] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   thx
[13.06.2017 | 20:15:33] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Hydroxion [143717568773881866] :   -dev java
[13.06.2017 | 20:15:34] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 20:26:16] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Lord Nightcore [315499915851857922] :   -invite
[13.06.2017 | 20:26:53] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Lord Nightcore [315499915851857922] :   how can i invite zekros bot to my own channel. is that possible?
[13.06.2017 | 20:34:22] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Hydroxion [143717568773881866] :   -dev
[13.06.2017 | 20:34:22] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 20:59:14] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @????????? [257905689249185792] :   kuhl.
[13.06.2017 | 20:59:27] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @????????? [257905689249185792] :   hab jetzt ein PB :)
[13.06.2017 | 20:59:32] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @????????? [257905689249185792] :   wie gefällt es euch?
[13.06.2017 | 21:01:45] D?RK DEVS   -   Developer Community Server [307084334198816769] || support [307088595099975680] @????????? [257905689249185792] :   Baguette!
[13.06.2017 | 21:09:20] D?RK DEVS   -   Developer Community Server [307084334198816769] || support [307088595099975680] @Lord Nightcore [315499915851857922] :   you need to change the : with a ; at the end of the queue before event.getGuild i think @? Rise of Chaos
[13.06.2017 | 21:11:38] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   @Schüler nice nice^^
[13.06.2017 | 21:20:27] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   @Lord Nightcore SAO fan xD
